City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Cap Malheureux,MU,2021-06-14 14:31:06,-19.9842,57.6142,73.89,65,5,3.0
245,Grand Island,US,2021-06-14 14:34:10,40.925,-98.342,76.6,65,1,1.01
246,Rancho Palos Verdes,US,2021-06-14 14:34:10,33.7445,-118.387,78.91,87,1,1.99
247,Mayo,US,2021-06-14 14:34:11,38.8876,-76.5119,80.37,72,75,4.0
248,Otorohanga,NZ,2021-06-14 14:34:12,-38.1833,175.2,57.56,99,89,1.74
249,Zhezkazgan,KZ,2021-06-14 14:34:13,47.8043,67.7144,75.85,34,12,11.99
250,Nyrob,RU,2021-06-14 14:34:13,60.733,56.7202,63.32,94,92,4.92
251,Nelson Bay,AU,2021-06-14 14:34:14,-32.7167,152.15,55.69,85,4,9.62
252,Longjiang,CN,2021-06-14 14:34:14,47.3303,123.1836,65.66,95,100,16.35
253,Kavieng,PG,2021-06-14 14:34:15,-2.5744,150.7967,82.56,77,10,13.56
254,Hirara,JP,2021-06-14 14:34:15,24.8,125.2833,83.39,87,100,15.5
255,Ola,RU,2021-06-14 14:34:16,59.5833,151.2833,43.29,85,39,7.52
256,Tuktoyaktuk,CA,2021-06-14 14:34:17,69.4541,-133.0374,32.0,100,90,6.91
257,Salalah,OM,2021-06-14 14:34:18,17.0151,54.0924,86.09,84,20,11.5
258,San Patricio,US,2021-06-14 14:34:18,28.017,-97.5169,84.9,62,0,2.68
259,Richards Bay,ZA,2021-06-14 14:34:19,-28.783,32.0377,71.31,74,61,8.84
260,San Vicente De Canete,PE,2021-06-14 14:34:19,-13.0751,-76.3835,68.85,70,37,6.93
261,Oranjestad,AW,2021-06-14 14:32:32,12.524,-70.027,85.95,66,20,21.85
262,Diego De Almagro,CL,2021-06-14 14:34:20,-26.3667,-70.05,70.29,22,45,3.89
263,Ferrol,ES,2021-06-14 14:34:21,43.4832,-8.2369,88.05,71,8,16.02
264,Mahebourg,MU,2021-06-14 14:34:22,-20.4081,57.7,73.69,68,20,8.05
265,La Ronge,CA,2021-06-14 14:31:15,55.1001,-105.2842,66.42,45,20,6.91
266,Hay River,CA,2021-06-14 14:34:23,60.8156,-115.7999,67.98,49,20,6.91
267,Karasjok,NO,2021-06-14 14:34:24,69.4719,25.5112,57.31,41,100,13.02
268,Zunyi,CN,2021-06-14 14:34:24,27.6867,106.9072,72.32,90,100,3.24
269,Alofi,NU,2021-06-14 14:34:25,-19.0595,-169.9187,75.09,83,100,13.8
270,Borgo San Dalmazzo,IT,2021-06-14 14:34:25,44.333,7.4858,85.14,53,85,3.76
271,Wewak,PG,2021-06-14 14:34:26,-3.5534,143.6268,81.28,80,95,9.1
272,Xinmin,CN,2021-06-14 14:34:27,41.9908,122.8253,71.85,71,100,13.44
273,Ugoofaaru,MV,2021-06-14 14:34:27,5.6667,73.0,83.26,77,51,16.42
274,Lodja,CD,2021-06-14 14:34:28,-3.4833,23.4333,90.46,28,100,1.92
275,Yining,CN,2021-06-14 14:34:28,29.0361,114.5636,79.57,86,99,2.93
276,Lubao,PH,2021-06-14 14:34:29,14.9167,120.55,84.15,84,74,4.85
277,Baijiantan,CN,2021-06-14 14:34:30,45.6333,85.1833,73.83,29,78,20.33
278,Gat,IL,2021-06-14 14:34:30,31.61,34.7642,81.81,45,0,16.17
279,Ammon,US,2021-06-14 14:34:31,43.4696,-111.9666,71.35,54,1,4.61
280,Lalibela,ET,2021-06-14 14:34:31,12.0333,39.0333,75.58,25,81,12.82
281,Pindiga,NG,2021-06-14 14:34:32,9.9833,10.9333,96.42,31,79,3.74
282,Hualmay,PE,2021-06-14 14:34:32,-11.0964,-77.6139,68.31,75,17,5.64
283,Mogadishu,SO,2021-06-14 14:34:33,2.0371,45.3438,82.27,65,40,17.27
284,Saint-Pierre,RE,2021-06-14 14:34:34,-21.3393,55.4781,74.88,73,0,2.3
285,Remetea,RO,2021-06-14 14:34:34,46.7833,25.45,49.98,93,100,3.24
286,Kyren,RU,2021-06-14 14:34:35,51.6828,102.1408,48.24,96,65,4.9
287,Kodiak,US,2021-06-14 14:34:35,57.79,-152.4072,40.51,87,1,5.75
288,Puerto Del Rosario,ES,2021-06-14 14:32:21,28.5004,-13.8627,78.48,64,20,17.27
289,Kilemary,RU,2021-06-14 14:34:36,56.7783,46.8659,69.73,72,98,4.63
290,Berdigestyakh,RU,2021-06-14 14:34:37,62.0989,126.6992,54.05,55,100,3.04
291,Luganville,VU,2021-06-14 14:34:38,-15.5333,167.1667,76.41,85,28,3.98
292,Atasu,KZ,2021-06-14 14:34:38,48.6814,71.6433,70.14,49,74,7.23
293,Kaeo,NZ,2021-06-14 14:34:39,-35.1,173.7833,61.32,97,100,4.14
