City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Khuzhir,RU,53.1939,107.3397,53.83,68,12,3.62,light rain
229,Faya,SA,18.3851,42.4509,75.72,20,79,2.89,broken clouds
230,Te Anau,NZ,-45.4167,167.7167,42.71,81,76,3.98,broken clouds
231,Nikolskoye,RU,59.7035,30.7861,66.09,46,46,7.43,scattered clouds
232,Mutum,BR,-19.8,-41.4383,59.49,92,5,2.44,clear sky
233,Shimanovsk,RU,52.0,127.7,62.38,93,100,17.58,light rain
234,Ponta Do Sol,PT,32.6667,-17.1,68.72,79,35,11.12,scattered clouds
235,Alyangula,AU,-13.8483,136.4192,82.27,83,75,5.75,broken clouds
236,Ekibastuz,KZ,51.6667,75.3667,84.43,34,46,6.6,scattered clouds
237,Sitka,US,57.0531,-135.33,55.29,71,75,6.91,broken clouds
238,Huescar,ES,37.811,-2.5412,62.26,87,94,4.9,overcast clouds
239,Marawi,PH,7.9986,124.2928,80.65,84,49,1.97,scattered clouds
240,Alta Floresta,BR,-9.8756,-56.0861,74.73,66,92,0.16,overcast clouds
241,Cam Ranh,VN,11.9214,109.1591,93.16,49,20,10.36,few clouds
242,Saint-Leu,RE,-21.15,55.2833,74.95,86,8,9.64,clear sky
243,Nemuro,JP,43.3236,145.575,63.03,86,90,10.13,overcast clouds
244,Krasnovishersk,RU,60.4078,57.082,63.54,48,48,9.89,scattered clouds
245,Souillac,MU,-20.5167,57.5167,73.36,83,75,11.5,broken clouds
246,Riohacha,CO,11.5444,-72.9072,79.54,79,61,15.14,broken clouds
247,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,6.91,few clouds
248,Clyde River,CA,70.4692,-68.5914,37.63,87,90,0.0,light rain
249,Ewo,CG,-0.8725,14.8206,73.47,83,99,5.28,overcast clouds
250,Fort Nelson,CA,58.8053,-122.7002,56.79,72,90,12.66,overcast clouds
251,Bairnsdale,AU,-37.8333,147.6167,57.7,73,77,1.99,broken clouds
252,Awbari,LY,26.5921,12.7805,81.41,17,0,8.88,clear sky
253,Aktas,KZ,49.7789,72.9608,83.95,28,3,10.56,clear sky
254,Saskylakh,RU,71.9167,114.0833,67.91,53,83,5.86,broken clouds
255,Sawakin,SD,19.1059,37.3321,93.74,32,99,11.14,overcast clouds
256,Beidao,CN,34.5686,105.8933,59.76,75,100,3.85,light rain
257,Waipawa,NZ,-41.4122,175.5153,51.46,89,59,4.45,broken clouds
258,Placido De Castro,BR,-10.3353,-67.1856,74.97,71,75,4.09,broken clouds
259,Tula,RU,54.2044,37.6111,69.6,62,3,8.86,clear sky
260,Barraute,CA,48.4335,-77.6328,48.47,60,49,4.36,scattered clouds
261,Schmallenberg,DE,51.15,8.3,74.52,68,74,5.21,broken clouds
262,Volchikha,RU,52.0333,80.3833,84.56,32,66,7.99,broken clouds
263,Miraflores,MX,19.2167,-98.8083,61.03,80,100,4.61,overcast clouds
264,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,45,0,6.71,clear sky
265,Itarema,BR,-2.9248,-39.9167,76.62,86,5,9.84,clear sky
266,Tieli,CN,46.95,128.05,67.06,85,100,13.96,overcast clouds
267,Yenisehir,TR,40.2644,29.6531,59.05,100,75,3.44,mist
268,Yulara,AU,-25.2406,130.9889,62.44,39,91,8.05,overcast clouds
269,Nanortalik,GL,60.1432,-45.2371,35.85,90,91,4.07,overcast clouds
270,Bracciano,IT,42.1031,12.1754,73.65,63,86,1.99,overcast clouds
271,Crixas,BR,-14.5489,-49.9692,66.65,38,14,4.81,few clouds
272,Rudbar,AF,30.15,62.6,95.52,5,0,16.69,clear sky
273,Voznesenye,RU,61.0106,35.4781,56.41,58,100,2.75,light rain
274,Hasaki,JP,35.7333,140.8333,80.19,70,83,14.07,broken clouds
275,Maningrida,AU,-12.0667,134.2667,87.31,51,54,9.84,broken clouds
276,Teahupoo,PF,-17.8333,-149.2667,73.36,85,100,19.26,light rain
277,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.99,100,90,2.3,overcast clouds
278,Ribeira Grande,PT,38.5167,-28.7,65.89,87,100,18.77,overcast clouds
279,Labuhan,ID,-6.8844,112.2051,85.55,64,100,5.14,overcast clouds
280,Palmer,US,42.1584,-72.3287,57.61,76,1,0.0,clear sky
281,Sabha,LY,27.0377,14.4283,82.04,19,0,14.81,clear sky
282,Ottawa,CA,45.4112,-75.6981,52.68,66,1,5.75,clear sky
283,Kabinda,CD,-6.1333,24.4833,68.61,34,70,4.25,broken clouds
284,Kahului,US,20.8947,-156.47,78.82,77,40,14.97,scattered clouds
285,Luderitz,NA,-26.6481,15.1594,58.14,71,27,4.99,scattered clouds
286,Tanout,NE,14.9709,8.8879,81.23,49,87,5.44,overcast clouds
287,Longyearbyen,SJ,78.2186,15.6401,31.15,79,59,3.65,broken clouds
288,Misratah,LY,32.3754,15.0925,73.44,61,0,9.4,clear sky
289,Umm Lajj,SA,25.0213,37.2685,86.23,53,0,13.22,clear sky
290,Posse,BR,-14.0931,-46.3694,65.55,64,6,3.15,clear sky
291,Saint-Francois,FR,46.4154,3.9054,72.48,83,0,3.44,clear sky
292,Homer,US,59.6425,-151.5483,55.08,87,75,5.75,broken clouds
293,Boende,CD,-0.2167,20.8667,74.88,71,90,3.29,overcast clouds
294,Chapais,CA,49.7834,-74.8492,49.78,68,88,10.31,overcast clouds
295,Saint-Joseph,RE,-21.3667,55.6167,74.46,77,28,13.27,light rain
296,Jaffna,LK,9.6685,80.0074,84.83,72,100,19.04,overcast clouds
297,Makakilo City,US,21.3469,-158.0858,78.57,65,1,8.05,clear sky
298,Mulanje,MW,-16.0316,35.5,68.14,56,25,0.56,scattered clouds
299,Sibu,MY,2.3,111.8167,86.31,74,40,2.3,scattered clouds
300,Santa Rosa,PH,14.3122,121.1114,93.11,56,50,10.04,scattered clouds
301,Buri,BR,-23.7975,-48.5928,55.22,88,84,7.43,broken clouds
302,Pavlovskiy,RU,57.8424,54.8436,66.02,49,43,12.03,scattered clouds
303,Yinchuan,CN,38.4681,106.2731,77.68,17,52,1.83,broken clouds
304,Vila,PT,42.0304,-8.1588,54.7,91,99,2.04,moderate rain
305,Kwekwe,ZW,-18.9281,29.8149,54.75,60,0,3.02,clear sky
306,Eureka,US,40.8021,-124.1637,59.67,73,5,4.79,clear sky
307,Karema,TZ,-6.8205,30.4389,69.94,51,76,8.34,broken clouds
308,Talgar,KZ,43.3027,77.2395,78.96,20,75,6.71,broken clouds
309,Keetmanshoop,NA,-26.5833,18.1333,50.92,57,0,1.14,clear sky
310,Laguna,US,38.421,-121.4238,83.32,42,75,1.01,broken clouds
311,Bubaque,GW,11.2833,-15.8333,80.47,84,57,10.13,broken clouds
312,Uray,RU,60.1247,64.7758,73.53,60,54,11.39,broken clouds
313,Shevchenko,UA,48.5,35.0,65.44,93,40,11.18,moderate rain
314,Bria,CF,6.5423,21.9863,67.69,98,100,4.5,light rain
315,Yeppoon,AU,-23.1333,150.7333,80.38,71,22,3.94,few clouds
316,Maumere,ID,-8.6199,122.2111,84.06,63,22,5.93,few clouds
317,Flinders,AU,-34.5833,150.8552,59.05,66,0,16.96,clear sky
318,Norman Wells,CA,65.282,-126.8329,66.24,42,1,5.75,clear sky
319,Beloha,MG,-25.1667,45.05,68.47,55,0,9.24,clear sky
320,Rockport,US,28.0206,-97.0544,84.0,84,1,0.0,clear sky
321,Waynesville,US,35.4887,-82.9887,60.64,74,2,1.99,clear sky
322,Beira,MZ,-19.8436,34.8389,64.49,100,20,3.44,mist
323,Riachao Do Jacuipe,BR,-11.8069,-39.3856,64.06,96,2,3.11,clear sky
324,Karlskoga,SE,59.3267,14.5239,66.38,55,75,5.59,broken clouds
325,Crestview,US,30.7621,-86.5705,78.24,84,1,0.0,clear sky
326,Zaraza,VE,9.3503,-65.3245,72.28,97,94,2.75,overcast clouds
327,Abu Zabad,SD,12.35,29.25,81.97,57,100,11.72,overcast clouds
328,Micheweni,TZ,-4.9667,39.8333,78.78,63,92,11.25,overcast clouds
329,Saldanha,ZA,-33.0117,17.9442,53.65,87,2,5.79,clear sky
330,Prince Rupert,CA,54.3161,-130.3201,53.69,82,75,4.61,broken clouds
331,Inhambane,MZ,-23.865,35.3833,57.18,94,20,0.0,few clouds
332,Kigoma,TZ,-4.8769,29.6267,61.39,94,0,0.0,clear sky
333,Tongliao,CN,43.6125,122.2653,80.38,21,16,11.79,few clouds
334,Kirakira,SB,-10.4544,161.9205,83.16,76,84,8.86,broken clouds
335,Novi Ligure,IT,44.7608,8.7896,76.66,80,84,2.01,broken clouds
336,Chaykovskiy,RU,56.7686,54.1148,66.81,49,78,13.73,broken clouds
337,Kasempa,ZM,-13.4584,25.8338,56.25,51,5,6.64,clear sky
338,Isoka,ZM,-10.1606,32.6335,59.25,65,30,2.59,scattered clouds
339,Porto Velho,BR,-8.7619,-63.9039,75.25,94,40,3.44,scattered clouds
340,Grafton,US,42.207,-71.6856,57.49,79,1,11.5,clear sky
341,Ostrovnoy,RU,68.0531,39.5131,49.46,56,26,9.69,scattered clouds
342,Miandrivazo,MG,-19.5167,45.4667,75.58,49,0,4.0,clear sky
343,Agadez,NE,19.75,10.25,82.83,13,1,7.29,clear sky
344,Andreapol,RU,56.6513,32.2664,67.06,45,23,0.18,few clouds
345,Vestmannaeyjar,IS,63.4427,-20.2734,41.16,67,92,12.73,light rain
346,Lavrentiya,RU,65.5833,-171.0,40.03,94,88,4.36,overcast clouds
